"Fecha Hora","Fecha Hora(RAW)","Trafico suma (volumen)","Trafico suma (volumen)(RAW)","Trafico suma (velocidad)","Trafico suma (velocidad)(RAW)","Trafico in (volumen)","Trafico in (volumen)(RAW)","Trafico in (velocidad)","Trafico in (velocidad)(RAW)","Trafico out (volumen)","Trafico out (volumen)(RAW)","Trafico out (velocidad)","Trafico out (velocidad)(RAW)","Downtime","Downtime(RAW)","Cobertura","Cobertura(RAW)"
"21.08.2018 04:00:00 AM - 05:00:00 AM","43333.4166666667","727,927 KByte","745397302.4906","1,657 kbit/s","207072.0623","668,910 KByte","684963820.4937","1,522 kbit/s","190283.5849","59,017 KByte","60433481.9968","134 kbit/s","16788.4774","0 %","0.0000","100 %","0000009999"
"21.08.2018 05:00:00 AM - 06:00:00 AM","43333.4583333333","705,440 KByte","722370284.4511","1,605 kbit/s","200677.3652","479,925 KByte","491443008.2925","1,092 kbit/s","136524.8408","225,515 KByte","230927276.1586","513 kbit/s","64152.5244","0 %","0.0000","100 %","0000009999"
"21.08.2018 06:00:00 AM - 07:00:00 AM","43333.5000000000","69,118,617 KByte","70777464217.0223","157,298 kbit/s","19662263.7185","61,135,022 KByte","62602262120.9157","139,129 kbit/s","17391159.7542","7,983,596 KByte","8175202096.1066","18,169 kbit/s","2271103.9643","0 %","0.0000","100 %","0000009999"
"21.08.2018 07:00:00 AM - 08:00:00 AM","43333.5416666667","142,921,974 KByte","146352101542.5965","325,252 kbit/s","40656523.7137","122,864,022 KByte","125812758941.2526","279,606 kbit/s","34950706.9831","20,057,952 KByte","20539342601.3439","45,647 kbit/s","5705816.7306","0 %","0.0000","100 %","0000009999"
"21.08.2018 08:00:00 AM - 09:00:00 AM","43333.5833333333","162,892,623 KByte","166802045558.4331","370,703 kbit/s","46337891.7514","140,593,025 KByte","143967257511.0028","319,955 kbit/s","39994348.8220","22,299,598 KByte","22834788047.4303","50,748 kbit/s","6343542.9294","0 %","0.0000","100 %","0000009999"
"21.08.2018 09:00:00 AM - 10:00:00 AM","43333.6250000000","176,272,849 KByte","180503396993.2649","401,151 kbit/s","50143871.8656","158,264,267 KByte","162062608924.3356","360,168 kbit/s","45021018.0610","18,008,582 KByte","18440788068.9293","40,983 kbit/s","5122853.8046","0 %","0.0000","100 %","0000009999"
"21.08.2018 10:00:00 AM - 11:00:00 AM","43333.6666666667","172,791,073 KByte","176938058447.7697","393,228 kbit/s","49153556.8097","154,754,866 KByte","158468982742.5491","352,183 kbit/s","44022830.4421","18,036,207 KByte","18469075705.2206","41,046 kbit/s","5130726.3675","0 %","0.0000","100 %","0000009999"
"21.08.2018 11:00:00 AM - 12:00:00 PM","43333.7083333333","204,859,187 KByte","209775807634.8226","466,209 kbit/s","58276075.8940","165,957,553 KByte","169940534288.5711","377,678 kbit/s","47209769.2547","38,901,634 KByte","39835273346.2515","88,530 kbit/s","11066306.6393","0 %","0.0000","100 %","0000009999"
"21.08.2018 12:00:00 PM - 01:00:00 PM","43333.7500000000","185,774,608 KByte","190233198607.0628","422,774 kbit/s","52846812.2730","154,941,391 KByte","158659984270.4195","352,606 kbit/s","44075768.4009","30,833,217 KByte","31573214336.6433","70,168 kbit/s","8771043.8720","0 %","0.0000","100 %","0000009999"
"21.08.2018 01:00:00 PM - 02:00:00 PM","43333.7916666667","163,367,919 KByte","167288749015.2987","371,785 kbit/s","46473098.7989","142,381,909 KByte","145799074652.6257","324,026 kbit/s","40503230.7373","20,986,010 KByte","21489674362.6730","47,759 kbit/s","5969868.0616","0 %","0.0000","100 %","0000009999"
